year,sex,address,agegp,death,pop
60,1,33,Y85ABO,0,151
60,1,34,Y00_04,0,27075
60,1,34,Y05_09,0,29184
60,1,34,Y10_14,0,28624
60,1,34,Y15_19,0,25848
60,1,34,Y20_24,0,18120
60,1,34,Y25_29,0,13364
60,1,34,Y30_34,0,13889
60,1,34,Y35_39,0,12546
60,1,34,Y40_44,0,12856
60,1,34,Y45_49,0,10694
60,1,34,Y50_54,0,8504
60,1,34,Y55_59,0,8124
60,1,34,Y60_64,3,5418
60,1,34,Y65_69,1,3311
60,1,34,Y70_74,1,1463
60,1,34,Y75_79,0,705
60,1,34,Y80_84,0,281
60,1,34,Y85ABO,0,102
60,1,35,Y00_04,0,33821
60,1,35,Y05_09,0,36732
60,1,35,Y10_14,0,36982
60,1,35,Y15_19,0,33663
60,1,35,Y20_24,0,24240
60,1,35,Y25_29,0,17006
60,1,35,Y30_34,0,16764
60,1,35,Y35_39,2,15073
60,1,35,Y40_44,1,15619
60,1,35,Y45_49,1,12263
60,1,35,Y50_54,0,9318
60,1,35,Y55_59,1,8111
60,1,35,Y60_64,3,5931
60,1,35,Y65_69,0,4259
60,1,35,Y70_74,1,2712
60,1,35,Y75_79,4,1408
60,1,35,Y80_84,1,575
60,1,35,Y85ABO,0,265
60,1,36,Y00_04,0,54119
60,1,36,Y05_09,0,54161
60,1,36,Y10_14,1,50947
60,1,36,Y15_19,0,48844
60,1,36,Y20_24,0,36310
60,1,36,Y25_29,0,26164
60,1,36,Y30_34,0,25420
60,1,36,Y35_39,0,24523
60,1,36,Y40_44,1,27737
60,1,36,Y45_49,0,22043
60,1,36,Y50_54,3,15371
60,1,36,Y55_59,1,11759
60,1,36,Y60_64,0,8277
60,1,36,Y65_69,2,5381
60,1,36,Y70_74,1,3147
60,1,36,Y75_79,0,1405
60,1,36,Y80_84,0,559
60,1,36,Y85ABO,0,182
60,1,37,Y00_04,0,67934
60,1,37,Y05_09,0,73000
60,1,37,Y10_14,0,72276
60,1,37,Y15_19,0,69236
60,1,37,Y20_24,0,51339
60,1,37,Y25_29,0,34475
60,1,37,Y30_34,2,34818
60,1,37,Y35_39,0,31558
60,1,37,Y40_44,2,28134
60,1,37,Y45_49,0,21485
60,1,37,Y50_54,0,17177
60,1,37,Y55_59,3,15361
60,1,37,Y60_64,2,11460
60,1,37,Y65_69,3,7425
60,1,37,Y70_74,0,4298
60,1,37,Y75_79,1,1906
60,1,37,Y80_84,0,775
60,1,37,Y85ABO,0,245
60,1,38,Y00_04,0,32138
60,1,38,Y05_09,0,35999
60,1,38,Y10_14,0,35976
60,1,38,Y15_19,0,33626
60,1,38,Y20_24,0,24096
60,1,38,Y25_29,0,16242
60,1,38,Y30_34,0,16553
60,1,38,Y35_39,0,15331
60,1,38,Y40_44,0,14737
60,1,38,Y45_49,0,11867
60,1,38,Y50_54,2,9150
60,1,38,Y55_59,0,8274
60,1,38,Y60_64,1,6225
60,1,38,Y65_69,0,3736
60,1,38,Y70_74,0,1983
60,1,38,Y75_79,0,741
60,1,38,Y80_84,0,329
60,1,38,Y85ABO,0,150
60,1,39,Y00_04,1,51591
60,1,39,Y05_09,0,56988
60,1,39,Y10_14,0,55583
60,1,39,Y15_19,1,53771
60,1,39,Y20_24,0,40341
60,1,39,Y25_29,0,26272
60,1,39,Y30_34,1,25811
60,1,39,Y35_39,0,22981
60,1,39,Y40_44,2,20929
60,1,39,Y45_49,1,15417
60,1,39,Y50_54,2,12706
60,1,39,Y55_59,3,11488
60,1,39,Y60_64,2,8658
60,1,39,Y65_69,0,5775
60,1,39,Y70_74,1,3213
60,1,39,Y75_79,1,1577
60,1,39,Y80_84,0,683
60,1,39,Y85ABO,0,230
60,1,40,Y00_04,0,37559
60,1,40,Y05_09,0,43372
60,1,40,Y10_14,0,43933
60,1,40,Y15_19,0,42267
60,1,40,Y20_24,0,30087
60,1,40,Y25_29,1,17688
60,1,40,Y30_34,0,18174
60,1,40,Y35_39,0,17397
60,1,40,Y40_44,2,16577
60,1,40,Y45_49,1,12541
60,1,40,Y50_54,0,10350
60,1,40,Y55_59,1,9315
60,1,40,Y60_64,3,7001
60,1,40,Y65_69,2,4362
60,1,40,Y70_74,0,2710
60,1,40,Y75_79,0,1236
60,1,40,Y80_84,0,496
60,1,40,Y85ABO,0,164
60,1,41,Y00_04,0,54869
60,1,41,Y05_09,0,63927
60,1,41,Y10_14,0,67529
60,1,41,Y15_19,0,63609
60,1,41,Y20_24,0,46238
60,1,41,Y25_29,0,27300
60,1,41,Y30_34,1,27389
60,1,41,Y35_39,1,28137
60,1,41,Y40_44,0,28828
60,1,41,Y45_49,0,21570
60,1,41,Y50_54,0,16147
60,1,41,Y55_59,0,14623
60,1,41,Y60_64,2,11190
60,1,41,Y65_69,0,7387
60,1,41,Y70_74,2,4790
60,1,41,Y75_79,0,2169
60,1,41,Y80_84,1,942
60,1,41,Y85ABO,0,316
60,1,42,Y00_04,0,53881
60,1,42,Y05_09,0,56100
60,1,42,Y10_14,0,53133
60,1,42,Y15_19,0,48313
60,1,42,Y20_24,0,34770
60,1,42,Y25_29,0,24511
60,1,42,Y30_34,0,23877
60,1,42,Y35_39,0,24087
60,1,42,Y40_44,1,29701
60,1,42,Y45_49,3,24063
60,1,42,Y50_54,0,15972
60,1,42,Y55_59,2,12555
60,1,42,Y60_64,2,8341
60,1,42,Y65_69,1,5165
60,1,42,Y70_74,2,2982
60,1,42,Y75_79,1,1414
60,1,42,Y80_84,0,536
60,1,42,Y85ABO,0,169
60,1,43,Y00_04,0,53661
60,1,43,Y05_09,0,59098
60,1,43,Y10_14,0,57769
60,1,43,Y15_19,0,54099
60,1,43,Y20_24,0,39748
60,1,43,Y25_29,1,26247
60,1,43,Y30_34,0,26229
60,1,43,Y35_39,0,24645
60,1,43,Y40_44,1,25915
60,1,43,Y45_49,2,20973
60,1,43,Y50_54,1,16511
60,1,43,Y55_59,1,13898
60,1,43,Y60_64,1,9132
60,1,43,Y65_69,2,5614
60,1,43,Y70_74,1,2946
60,1,43,Y75_79,0,1379
60,1,43,Y80_84,0,554
60,1,43,Y85ABO,0,173
60,1,44,Y00_04,0,8170
60,1,44,Y05_09,0,8754
60,1,44,Y10_14,0,8518
60,1,44,Y15_19,0,6961
60,1,44,Y20_24,1,4930
60,1,44,Y25_29,0,2936
60,1,44,Y30_34,0,2902
60,1,44,Y35_39,0,3465
60,1,44,Y40_44,0,4722
60,1,44,Y45_49,0,3735
60,1,44,Y50_54,0,2263
60,1,44,Y55_59,0,1696
60,1,44,Y60_64,0,1143
60,1,44,Y65_69,0,891
60,1,44,Y70_74,0,603
60,1,44,Y75_79,0,332
60,1,44,Y80_84,0,201
60,1,44,Y85ABO,0,82
60,1,45,Y00_04,0,21657
60,1,45,Y05_09,0,23442
60,1,45,Y10_14,0,23024
60,1,45,Y15_19,0,20337
60,1,45,Y20_24,0,13918
60,1,45,Y25_29,0,9600
60,1,45,Y30_34,0,9368
60,1,45,Y35_39,1,9549
60,1,45,Y40_44,0,12965
60,1,45,Y45_49,0,12707
60,1,45,Y50_54,1,10671
60,1,45,Y55_59,0,7972
60,1,45,Y60_64,0,4585
60,1,45,Y65_69,0,3092
60,1,45,Y70_74,0,1712
60,1,45,Y75_79,0,750
60,1,45,Y80_84,0,292
60,1,45,Y85ABO,0,107
60,1,46,Y00_04,0,20137
60,1,46,Y05_09,0,22064
60,1,46,Y10_14,0,20608
60,1,46,Y15_19,0,17939
60,1,46,Y20_24,0,12049
60,1,46,Y25_29,0,8123
60,1,46,Y30_34,0,8229
60,1,46,Y35_39,0,8367
60,1,46,Y40_44,1,9858
60,1,46,Y45_49,1,9404
60,1,46,Y50_54,0,7574
60,1,46,Y55_59,2,6211
60,1,46,Y60_64,0,3647
60,1,46,Y65_69,0,2284
60,1,46,Y70_74,0,1124
60,1,46,Y75_79,0,488
60,1,46,Y80_84,0,169
60,1,46,Y85ABO,0,61
61,1,01,Y00_04,0,109317
61,1,01,Y05_09,1,116574
61,1,01,Y10_14,0,114398
61,1,01,Y15_19,0,102715
61,1,01,Y20_24,1,85540
61,1,01,Y25_29,0,63738
61,1,01,Y30_34,1,62342
61,1,01,Y35_39,1,57213
61,1,01,Y40_44,2,75486
61,1,01,Y45_49,3,76450
61,1,01,Y50_54,2,55112
61,1,01,Y55_59,1,38146
61,1,01,Y60_64,3,23273
61,1,01,Y65_69,2,12846
61,1,01,Y70_74,4,6469
61,1,01,Y75_79,3,2891
61,1,01,Y80_84,0,1068
61,1,01,Y85ABO,1,430
61,1,02,Y00_04,0,64352
61,1,02,Y05_09,0,64694
61,1,02,Y10_14,0,61036
61,1,02,Y15_19,1,52833
61,1,02,Y20_24,0,42532
61,1,02,Y25_29,1,32094
61,1,02,Y30_34,2,32616
61,1,02,Y35_39,1,28907
61,1,02,Y40_44,0,33456
61,1,02,Y45_49,1,29618
61,1,02,Y50_54,0,21134
61,1,02,Y55_59,2,14171
61,1,02,Y60_64,0,8410
61,1,02,Y65_69,0,4582
61,1,02,Y70_74,2,2334
61,1,02,Y75_79,0,998
61,1,02,Y80_84,0,398
61,1,02,Y85ABO,0,121
61,1,11,Y00_04,0,20719
61,1,11,Y05_09,0,22780
61,1,11,Y10_14,0,23002
61,1,11,Y15_19,0,20127
61,1,11,Y20_24,0,14427
61,1,11,Y25_29,0,8670
61,1,11,Y30_34,0,10172
61,1,11,Y35_39,1,9364
61,1,11,Y40_44,0,11619
61,1,11,Y45_49,0,11599
61,1,11,Y50_54,0,8655
61,1,11,Y55_59,0,6737
61,1,11,Y60_64,3,4204
61,1,11,Y65_69,1,2326
61,1,11,Y70_74,1,1215
61,1,11,Y75_79,0,504
61,1,11,Y80_84,0,148
61,1,11,Y85ABO,0,50
61,1,12,Y00_04,0,14955
61,1,12,Y05_09,0,16072
61,1,12,Y10_14,0,15766
61,1,12,Y15_19,0,14608
61,1,12,Y20_24,0,11941
61,1,12,Y25_29,0,7457
61,1,12,Y30_34,0,7094
61,1,12,Y35_39,0,6424
61,1,12,Y40_44,0,8788
61,1,12,Y45_49,0,9588
61,1,12,Y50_54,1,7730
61,1,12,Y55_59,1,4766
61,1,12,Y60_64,0,3022
61,1,12,Y65_69,0,1973
61,1,12,Y70_74,0,1153
61,1,12,Y75_79,0,492
61,1,12,Y80_84,0,193
61,1,12,Y85ABO,0,58
61,1,17,Y00_04,0,29670
61,1,17,Y05_09,0,32177
61,1,17,Y10_14,0,31566
61,1,17,Y15_19,0,28258
61,1,17,Y20_24,0,23194
61,1,17,Y25_29,0,15477
61,1,17,Y30_34,0,15030
61,1,17,Y35_39,0,13764
61,1,17,Y40_44,0,16089
61,1,17,Y45_49,0,14614
61,1,17,Y50_54,0,10476
61,1,17,Y55_59,0,7559
61,1,17,Y60_64,2,4743
61,1,17,Y65_69,0,2683
61,1,17,Y70_74,2,1426
61,1,17,Y75_79,1,574
61,1,17,Y80_84,0,194
61,1,17,Y85ABO,0,70
61,1,21,Y00_04,0,30201
61,1,21,Y05_09,0,32273
61,1,21,Y10_14,0,32554
61,1,21,Y15_19,0,29785
61,1,21,Y20_24,0,24716
61,1,21,Y25_29,0,16158
61,1,21,Y30_34,0,15867
61,1,21,Y35_39,1,14063
61,1,21,Y40_44,0,14889
61,1,21,Y45_49,1,13269
61,1,21,Y50_54,0,10604
61,1,21,Y55_59,1,7701
61,1,21,Y60_64,2,5251
61,1,21,Y65_69,1,3424
61,1,21,Y70_74,2,1971
61,1,21,Y75_79,1,968
61,1,21,Y80_84,1,328
61,1,21,Y85ABO,0,122
61,1,22,Y00_04,0,13915
61,1,22,Y05_09,0,16113
61,1,22,Y10_14,0,17140
61,1,22,Y15_19,0,15521
61,1,22,Y20_24,0,12170
61,1,22,Y25_29,0,7290
61,1,22,Y30_34,0,7362
61,1,22,Y35_39,0,7180
61,1,22,Y40_44,0,8565
61,1,22,Y45_49,0,7886
61,1,22,Y50_54,0,5362
61,1,22,Y55_59,0,3749
61,1,22,Y60_64,0,2616
61,1,22,Y65_69,0,1506
61,1,22,Y70_74,1,799
61,1,22,Y75_79,1,309
61,1,22,Y80_84,0,113
61,1,22,Y85ABO,0,29
61,1,31,Y00_04,0,93818
61,1,31,Y05_09,0,93977
61,1,31,Y10_14,0,83865
61,1,31,Y15_19,0,73145
61,1,31,Y20_24,1,56658
61,1,31,Y25_29,0,42976
61,1,31,Y30_34,0,45903
61,1,31,Y35_39,0,39871
61,1,31,Y40_44,2,44405
61,1,31,Y45_49,1,39650
61,1,31,Y50_54,3,30468
61,1,31,Y55_59,2,22640
61,1,31,Y60_64,2,14747
61,1,31,Y65_69,3,9221
61,1,31,Y70_74,4,5026
61,1,31,Y75_79,0,2262
61,1,31,Y80_84,0,834
61,1,31,Y85ABO,0,352
61,1,32,Y00_04,0,53345
61,1,32,Y05_09,0,55301
61,1,32,Y10_14,0,49228
61,1,32,Y15_19,0,42200
61,1,32,Y20_24,0,31913
61,1,32,Y25_29,0,21458
61,1,32,Y30_34,1,21925
61,1,32,Y35_39,1,21287
61,1,32,Y40_44,0,32839
61,1,32,Y45_49,1,27482
61,1,32,Y50_54,5,17435
61,1,32,Y55_59,2,12026
61,1,32,Y60_64,1,7650
61,1,32,Y65_69,3,5189
61,1,32,Y70_74,6,3161
61,1,32,Y75_79,3,1516
61,1,32,Y80_84,0,692
61,1,32,Y85ABO,0,267
61,1,33,Y00_04,0,22458
61,1,33,Y05_09,0,24305
61,1,33,Y10_14,0,24202
61,1,33,Y15_19,0,22328
61,1,33,Y20_24,0,17337
61,1,33,Y25_29,0,11455
61,1,33,Y30_34,0,11108
61,1,33,Y35_39,0,10017
61,1,33,Y40_44,0,10994
61,1,33,Y45_49,0,8969
61,1,33,Y50_54,0,6942
61,1,33,Y55_59,1,5934
61,1,33,Y60_64,1,4926
61,1,33,Y65_69,0,3232
61,1,33,Y70_74,2,1981
61,1,33,Y75_79,0,1010
61,1,33,Y80_84,0,475
61,1,33,Y85ABO,0,180
61,1,34,Y00_04,0,26109
61,1,34,Y05_09,0,28416
61,1,34,Y10_14,0,28851
61,1,34,Y15_19,1,26322
61,1,34,Y20_24,0,19999
61,1,34,Y25_29,0,12785
61,1,34,Y30_34,0,13848
61,1,34,Y35_39,0,12596
61,1,34,Y40_44,0,12730
61,1,34,Y45_49,0,11168
61,1,34,Y50_54,0,8710
61,1,34,Y55_59,1,8024
61,1,34,Y60_64,1,5845
61,1,34,Y65_69,1,3573
61,1,34,Y70_74,0,1620
61,1,34,Y75_79,2,710
61,1,34,Y80_84,0,272
61,1,34,Y85ABO,0,124
61,1,35,Y00_04,0,33032
61,1,35,Y05_09,0,35542
61,1,35,Y10_14,0,37319
61,1,35,Y15_19,0,34095
61,1,35,Y20_24,0,26716
61,1,35,Y25_29,0,16692
61,1,35,Y30_34,0,16798
61,1,35,Y35_39,0,14838
61,1,35,Y40_44,2,15763
61,1,35,Y45_49,1,12908
61,1,35,Y50_54,2,9778
61,1,35,Y55_59,0,8195
61,1,35,Y60_64,2,6187
61,1,35,Y65_69,1,4431
61,1,35,Y70_74,0,2874
61,1,35,Y75_79,0,1455
61,1,35,Y80_84,0,596
61,1,35,Y85ABO,0,282
61,1,36,Y00_04,0,53522
61,1,36,Y05_09,0,53668
61,1,36,Y10_14,0,51418
61,1,36,Y15_19,0,49355
61,1,36,Y20_24,0,39888
61,1,36,Y25_29,0,25984
61,1,36,Y30_34,0,25780
61,1,36,Y35_39,0,24198
61,1,36,Y40_44,0,27636
61,1,36,Y45_49,1,23112
61,1,36,Y50_54,0,16460
61,1,36,Y55_59,3,12010
61,1,36,Y60_64,3,8812
61,1,36,Y65_69,1,5672
61,1,36,Y70_74,1,3398
61,1,36,Y75_79,0,1505
61,1,36,Y80_84,1,598
61,1,36,Y85ABO,0,218
61,1,37,Y00_04,0,66821
61,1,37,Y05_09,0,71176
61,1,37,Y10_14,0,72526
61,1,37,Y15_19,1,69276
61,1,37,Y20_24,0,56572
61,1,37,Y25_29,0,34152
61,1,37,Y30_34,0,34898
61,1,37,Y35_39,0,31734
61,1,37,Y40_44,1,29019
61,1,37,Y45_49,1,22476
61,1,37,Y50_54,1,18064
61,1,37,Y55_59,1,15264
61,1,37,Y60_64,3,12052
61,1,37,Y65_69,0,7910
61,1,37,Y70_74,3,4618
61,1,37,Y75_79,0,2000
61,1,37,Y80_84,0,790
61,1,37,Y85ABO,0,287
61,1,38,Y00_04,0,31133
61,1,38,Y05_09,0,35059
61,1,38,Y10_14,0,35926
61,1,38,Y15_19,0,34001
61,1,38,Y20_24,0,26562
61,1,38,Y25_29,0,15938
61,1,38,Y30_34,0,16489
61,1,38,Y35_39,0,15092
61,1,38,Y40_44,0,15030
61,1,38,Y45_49,0,12281
61,1,38,Y50_54,1,9538
61,1,38,Y55_59,0,8222
61,1,38,Y60_64,2,6384
61,1,38,Y65_69,1,3969
61,1,38,Y70_74,2,2077
61,1,38,Y75_79,1,751
61,1,38,Y80_84,0,314
61,1,38,Y85ABO,0,152
61,1,39,Y00_04,1,49223
61,1,39,Y05_09,0,55345
61,1,39,Y10_14,0,55449
61,1,39,Y15_19,0,53277
61,1,39,Y20_24,0,43957
61,1,39,Y25_29,1,26032
61,1,39,Y30_34,1,25516
61,1,39,Y35_39,0,22865
61,1,39,Y40_44,1,21356
61,1,39,Y45_49,0,16164
61,1,39,Y50_54,3,13122
61,1,39,Y55_59,1,11374
61,1,39,Y60_64,1,9120
61,1,39,Y65_69,3,6190
61,1,39,Y70_74,0,3368
61,1,39,Y75_79,1,1658
61,1,39,Y80_84,0,688
61,1,39,Y85ABO,1,258
61,1,40,Y00_04,0,35285
61,1,40,Y05_09,0,41315
61,1,40,Y10_14,0,43368
61,1,40,Y15_19,0,42319
61,1,40,Y20_24,0,33320
61,1,40,Y25_29,0,17118
61,1,40,Y30_34,0,17826
61,1,40,Y35_39,0,17162
61,1,40,Y40_44,0,16805
61,1,40,Y45_49,1,12974
61,1,40,Y50_54,0,10804
61,1,40,Y55_59,1,9143
61,1,40,Y60_64,1,7530
61,1,40,Y65_69,2,4559
61,1,40,Y70_74,0,2833
61,1,40,Y75_79,0,1318
61,1,40,Y80_84,1,513
61,1,40,Y85ABO,0,177
61,1,41,Y00_04,0,52405
61,1,41,Y05_09,0,60862
61,1,41,Y10_14,0,67197
61,1,41,Y15_19,0,64131
61,1,41,Y20_24,0,51250
61,1,41,Y25_29,0,27009
61,1,41,Y30_34,1,26840
61,1,41,Y35_39,1,27490
61,1,41,Y40_44,1,29128
61,1,41,Y45_49,1,22614
61,1,41,Y50_54,2,17362
61,1,41,Y55_59,2,14201
61,1,41,Y60_64,1,12092
61,1,41,Y65_69,1,7681
61,1,41,Y70_74,1,4986
61,1,41,Y75_79,2,2397
61,1,41,Y80_84,1,936
61,1,41,Y85ABO,0,356
61,1,42,Y00_04,1,53475
61,1,42,Y05_09,0,56226
61,1,42,Y10_14,0,54327
61,1,42,Y15_19,0,49319
61,1,42,Y20_24,1,38898
61,1,42,Y25_29,2,24388
61,1,42,Y30_34,0,24416
61,1,42,Y35_39,2,23286
61,1,42,Y40_44,0,29522
61,1,42,Y45_49,0,25418
61,1,42,Y50_54,1,17341
61,1,42,Y55_59,2,12657
61,1,42,Y60_64,2,9178
61,1,42,Y65_69,1,5526
61,1,42,Y70_74,1,3171
61,1,42,Y75_79,0,1491
61,1,42,Y80_84,1,559
61,1,42,Y85ABO,0,198
61,1,43,Y00_04,1,51611
61,1,43,Y05_09,0,57764
61,1,43,Y10_14,0,58113
61,1,43,Y15_19,0,54348
61,1,43,Y20_24,1,43954
61,1,43,Y25_29,1,25813
61,1,43,Y30_34,0,26234
61,1,43,Y35_39,0,24214
61,1,43,Y40_44,2,25854
61,1,43,Y45_49,1,21622
61,1,43,Y50_54,1,17341
61,1,43,Y55_59,1,14019
61,1,43,Y60_64,0,9887
61,1,43,Y65_69,1,5924
61,1,43,Y70_74,0,3149
61,1,43,Y75_79,0,1424
61,1,43,Y80_84,0,593
61,1,43,Y85ABO,0,192
61,1,44,Y00_04,0,7693
61,1,44,Y05_09,0,8597
61,1,44,Y10_14,0,8454
61,1,44,Y15_19,0,7142
61,1,44,Y20_24,0,5349
61,1,44,Y25_29,0,2911
61,1,44,Y30_34,0,2703
61,1,44,Y35_39,0,3195
61,1,44,Y40_44,0,4442
61,1,44,Y45_49,0,3923
61,1,44,Y50_54,0,2470
61,1,44,Y55_59,0,1682
61,1,44,Y60_64,0,1216
61,1,44,Y65_69,0,896
61,1,44,Y70_74,0,633
61,1,44,Y75_79,0,325
61,1,44,Y80_84,0,214
61,1,44,Y85ABO,0,85
61,1,45,Y00_04,0,20660
61,1,45,Y05_09,0,22928
61,1,45,Y10_14,0,22896
61,1,45,Y15_19,0,20916
61,1,45,Y20_24,0,15361
61,1,45,Y25_29,1,9523
61,1,45,Y30_34,0,9372
61,1,45,Y35_39,0,9158
61,1,45,Y40_44,1,12304
61,1,45,Y45_49,2,12908
61,1,45,Y50_54,0,11299
61,1,45,Y55_59,1,8248
61,1,45,Y60_64,1,5094
61,1,45,Y65_69,0,3322
61,1,45,Y70_74,1,1816
61,1,45,Y75_79,0,818
61,1,45,Y80_84,0,304
61,1,45,Y85ABO,0,128
61,1,46,Y00_04,0,19286
61,1,46,Y05_09,0,21605
61,1,46,Y10_14,0,20644
61,1,46,Y15_19,0,18325
61,1,46,Y20_24,0,13044
61,1,46,Y25_29,1,7866
61,1,46,Y30_34,0,7946
61,1,46,Y35_39,0,7838
61,1,46,Y40_44,0,9388
61,1,46,Y45_49,3,9471
61,1,46,Y50_54,0,7886
61,1,46,Y55_59,0,6292
61,1,46,Y60_64,3,3980
61,1,46,Y65_69,1,2471
61,1,46,Y70_74,0,1160
